item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000063,O000021,P0313,4,149.05,25.19
I0000064,O000022,P0001,5,337.98,7.41
I0000065,O000022,P0002,2,450.38,23.73
I0000066,O000022,P0011,2,461.77,8.15
I0000067,O000022,P0002,5,460.29,0.67
I0000068,O000023,P0001,5,442.39,3.72
I0000069,O000023,P0002,4,373.19,28.16
I0000070,O000024,P0001,5,271.06,14.53
I0000071,O000024,P0002,2,355.16,8.53
I0000072,O000024,P0009,2,247.71,29.66
I0000073,O000025,P0021,5,355.33,14.42
I0000074,O000025,P0022,5,518.58,20.87
I0000075,O000026,P0021,2,351.52,16.25
I0000076,O000026,P0022,4,385.72,6.78
I0000077,O000026,P0018,1,166.45,5.59
I0000078,O000027,P0021,4,417.94,11.41
I0000079,O000027,P0022,4,575.60,13.14
I0000080,O000027,P0008,2,294.09,1.90
I0000081,O000028,P0001,4,410.59,2.09
I0000082,O000028,P0002,3,450.45,5.99
I0000083,O000029,P0181,4,131.00,16.20
I0000084,O000029,P0182,5,111.23,8.63
I0000085,O000029,P0169,5,60.97,32.46
I0000086,O000030,P0454,4,28.10,19.55
I0000087,O000030,P0465,1,89.75,4.64
I0000088,O000030,P0466,4,45.63,23.42
I0000089,O000031,P0465,3,85.48,2.47
I0000090,O000031,P0451,5,95.77,10.38
I0000091,O000032,P0001,1,327.87,6.13
I0000092,O000032,P0002,3,483.62,27.08
I0000093,O000033,P0301,1,161.20,17.02
I0000094,O000033,P0302,3,241.67,18.62
I0000095,O000033,P0312,1,316.49,12.89
I0000096,O000034,P0181,3,119.16,15.54
I0000097,O000034,P0182,5,74.68,0.77
I0000098,O000034,P0166,3,100.82,14.41
I0000099,O000035,P0308,2,288.61,10.09
I0000100,O000035,P0316,2,167.29,15.96
I0000101,O000036,P0461,5,80.36,15.70
I0000102,O000036,P0462,4,91.42,32.22
I0000103,O000037,P0021,4,390.51,27.99
I0000104,O000037,P0022,1,405.64,3.93
I0000105,O000037,P0019,4,110.25,19.28
I0000106,O000038,P0009,1,229.07,18.84
I0000107,O000038,P0007,5,332.85,13.80
I0000108,O000039,P0021,4,466.52,30.60
I0000109,O000039,P0022,2,534.53,14.55
I0000110,O000040,P0167,1,90.73,33.60
I0000111,O000040,P0161,2,21.38,22.36
I0000112,O000041,P0166,4,101.40,31.24
I0000113,O000041,P0154,3,43.90,22.57
I0000114,O000042,P0154,5,39.75,0.61
I0000115,O000042,P0162,2,41.42,11.19
I0000116,O000042,P0167,3,117.28,1.85
I0000117,O000043,P0018,3,210.20,28.94
I0000118,O000043,P0011,5,331.94,24.43
I0000119,O000044,P0304,5,96.41,7.74
I0000120,O000044,P0307,5,131.53,29.10
I0000121,O000045,P0381,5,71.36,12.69
I0000122,O000045,P0382,3,264.39,33.95
I0000123,O000046,P0301,1,171.26,26.71
I0000124,O000046,P0302,1,294.26,26.51
I0000125,O000047,P0381,5,61.81,26.12
I0000126,O000047,P0382,5,232.48,5.62
I0000127,O000047,P0301,5,148.12,19.96
I0000128,O000047,P0303,3,200.17,18.51
I0000129,O000048,P0156,2,102.16,12.42
I0000130,O000048,P0165,3,90.63,14.27
I0000131,O000048,P0154,3,25.18,3.86
I0000132,O000049,P0171,2,66.62,10.17
I0000133,O000049,P0172,3,147.25,31.32
I0000134,O000049,P0158,1,114.53,34.96
I0000135,O000050,P0061,5,333.85,25.38
I0000136,O000050,P0062,4,297.88,26.47
I0000137,O000050,P0004,4,140.23,23.33
I0000138,O000050,P0008,1,279.78,5.16
I0000139,O000051,P0461,5,114.43,11.44
I0000140,O000051,P0462,4,76.17,2.68
I0000141,O000051,P0463,4,125.89,7.07
I0000142,O000052,P0463,2,130.29,15.49
I0000143,O000052,P0465,2,70.97,30.11
I0000144,O000052,P0461,4,106.00,4.71
I0000145,O000053,P0381,3,100.01,20.44
I0000146,O000053,P0382,4,238.44,14.99
I0000147,O000053,P0312,3,293.42,23.14
I0000148,O000054,P0464,4,22.81,14.74
I0000149,O000054,P0469,4,97.36,34.50
I0000150,O000055,P0381,1,109.20,7.06
I0000151,O000055,P0382,1,322.15,18.75
I0000152,O000055,P0312,5,281.05,20.07
I0000153,O000056,P0151,3,131.27,10.50
I0000154,O000056,P0152,4,99.48,14.08
I0000155,O000056,P0160,5,176.19,19.16
I0000156,O000057,P0501,4,55.09,2.10
I0000157,O000057,P0502,3,61.93,5.27
I0000158,O000057,P0469,1,113.80,14.36
I0000159,O000058,P0321,5,106.83,28.95
I0000160,O000058,P0322,2,507.84,14.77
I0000161,O000058,P0301,3,137.69,4.78
I0000162,O000059,P0041,5,213.58,17.51
I0000163,O000059,P0042,1,576.29,32.60
I0000164,O000059,P0008,3,226.70,4.28
I0000165,O000059,P0004,2,192.19,25.80
I0000166,O000060,P0001,3,315.44,14.83
I0000167,O000060,P0002,3,587.06,32.79
I0000168,O000061,P0009,1,377.44,24.52
I0000169,O000061,P0018,1,170.82,8.27
I0000170,O000061,P0013,3,503.59,13.75
I0000171,O000061,P0010,3,257.81,32.77
I0000172,O000062,P0151,4,128.20,14.45
I0000173,O000062,P0152,3,159.10,28.71
I0000174,O000062,P0166,5,91.95,12.31
I0000175,O000063,P0305,2,389.79,11.18
I0000176,O000063,P0320,3,265.69,24.06
I0000177,O000063,P0314,4,101.98,14.51
I0000178,O000064,P0501,3,45.19,9.11
I0000179,O000064,P0502,5,63.21,19.85
I0000180,O000064,P0470,4,102.26,32.20
I0000181,O000065,P0191,3,50.26,27.74
I0000182,O000065,P0192,5,93.52,15.78
I0000183,O000065,P0157,2,60.84,16.04
I0000184,O000065,P0164,2,200.34,34.10
I0000185,O000066,P0191,-5,74.23,28.34
I0000186,O000066,P0192,5,98.90,13.81
I0000187,O000066,P0170,4,67.11,6.28
I0000188,O000066,P0170,3,128.61,30.73
I0000189,O000067,P0021,3,448.23,9.21
I0000190,O000067,P0022,4,462.68,15.25
I0000191,O000067,P0014,4,384.98,5.29
I0000192,O000067,P0010,1,205.90,5.20
I0000193,O000068,P0301,3,140.38,5.89
I0000194,O000068,P0302,1,257.75,23.21
I0000195,O000068,P0307,1,124.08,19.98
I0000196,O000068,P0310,3,186.23,17.43
I0000197,O000069,P0001,5,401.46,33.28
I0000198,O000069,P0002,3,343.57,30.21
I0000199,O000069,P0011,5,346.24,1.94
I0000200,O000069,P0002,4,425.40,13.96
I0000201,O000070,P0061,5,314.54,32.26
I0000202,O000070,P0062,5,207.44,23.29
I0000203,O000071,P0061,2,183.16,11.96
I0000204,O000071,P0062,5,308.44,24.98
I0000205,O000071,P0003,4,85.36,18.36
I0000206,O000072,P0171,3,62.61,25.21
I0000207,O000072,P0172,1,97.62,2.86
I0000208,O000072,P0154,4,39.93,16.20
I0000209,O000073,P0041,1,143.43,34.38
I0000210,O000073,P0042,1,418.05,0.63
I0000211,O000073,P0007,5,192.35,16.70
I0000212,O000073,P0006,5,114.87,10.60
I0000213,O000074,P0468,1,62.22,16.22
I0000214,O000074,P0457,4,64.96,31.58
I0000215,O000074,P0453,5,166.36,16.50
I0000216,O000075,P0316,4,216.60,34.97
I0000217,O000075,P0319,4,370.09,20.69
I0000218,O000075,P0320,5,259.26,2.12
I0000219,O000076,P0171,4,48.98,25.42
I0000220,O000076,P0172,3,95.74,7.69
I0000221,O000076,P0151,4,169.46,29.87
I0000222,O000077,P0003,1,57.95,6.98
I0000223,O000077,P0016,2,113.89,33.01
I0000224,O000078,P0451,4,68.42,7.93
I0000225,O000078,P0452,1,63.49,11.91
I0000226,O000078,P0461,5,126.78,19.50
I0000227,O000078,P0464,4,24.23,3.64
I0000228,O000079,P0171,3,74.64,3.48
I0000229,O000079,P0172,4,144.14,4.30
I0000230,O000080,P0008,4,262.36,7.99
I0000231,O000080,P0005,5,246.83,31.43
I0000232,O000080,P0017,2,100.37,12.66
I0000233,O000081,P0001,5,463.84,2.02
I0000234,O000081,P0002,5,617.32,14.68
I0000235,O000081,P0005,3,240.89,25.25
I0000236,O000082,P0465,5,81.42,30.83
I0000237,O000082,P0462,2,93.87,25.38
I0000238,O000082,P0463,5,105.99,18.93
I0000239,O000083,P0304,2,109.17,25.79
I0000240,O000083,P0315,5,217.16,34.62
I0000241,O000084,P0381,4,79.57,5.13
I0000242,O000084,P0382,4,184.07,2.18
I0000243,O000085,P0061,4,363.78,24.12
I0000244,O000085,P0062,4,342.91,5.05
I0000245,O000086,P0154,5,24.86,12.94
I0000246,O000086,P0170,3,74.87,13.00
I0000247,O000086,P0164,5,136.09,0.98
I0000248,O000087,P0151,3,129.12,10.84
I0000249,O000087,P0152,5,150.69,16.63
I0000250,O000087,P0164,4,118.16,4.85
I0000251,O000088,P0151,1,172.78,31.15
I0000252,O000088,P0152,3,158.15,24.75
I0000253,O000089,P0181,4,109.69,24.70
I0000254,O000089,P0182,5,67.71,18.67
I0000255,O000090,P0151,1,134.67,9.99
I0000256,O000090,P0152,1,95.44,33.33
I0000257,O000091,P0001,2,248.43,8.39
I0000258,O000091,P0002,1,461.62,26.33
I0000259,O000092,P0151,4,144.72,4.39
I0000260,O000092,P0152,2,89.25,22.25
I0000261,O000092,P0158,5,134.58,34.49
I0000262,O000092,P0168,1,37.71,33.65
I0000263,O000093,P0021,4,408.20,19.71
I0000264,O000093,P0022,3,520.74,29.07
I0000265,O000093,P0002,3,586.69,7.38
I0000266,O000093,P0006,4,125.84,33.09
I0000267,O000094,P0020,5,59.19,0.34
I0000268,O000094,P0016,5,120.62,24.62
I0000269,O000095,P0451,1,122.36,15.56
I0000270,O000095,P0454,2,40.55,23.82
I0000271,O000095,P0465,2,48.68,21.47
I0000272,O000095,P0462,3,86.42,17.28
I0000273,O000096,P0061,5,212.13,25.86
I0000274,O000096,P0062,1,292.31,2.29
I0000275,O000096,P0006,5,73.33,32.67
I0000276,O000096,P0018,1,193.45,9.60
I0000277,O000097,P0311,3,270.93,23.81
I0000278,O000097,P0314,1,130.79,1.52
I0000279,O000097,P0314,1,109.15,14.70
I0000280,O000098,P0061,3,328.18,20.74
I0000281,O000098,P0062,3,346.17,8.65
I0000282,O000098,P0014,2,400.63,28.76
I0000283,O000099,P0381,1,104.64,24.27
I0000284,O000099,P0382,4,336.48,15.47
I0000285,O000100,P0171,1,69.55,11.89
I0000286,O000100,P0172,1,114.04,11.49
I0000287,O000100,P0170,2,65.11,24.97
I0000288,O000101,P0041,3,176.66,15.25
I0000289,O000101,P0042,2,380.44,30.98
I0000290,O000102,P0001,2,342.17,6.84
I0000291,O000102,P0002,4,556.49,11.95
I0000292,O000103,P0171,1,78.00,13.16
I0000293,O000103,P0172,1,106.52,2.58
I0000294,O000103,P0161,3,24.48,15.41
I0000295,O000104,P0001,2,448.74,31.87
I0000296,O000104,P0002,2,424.59,27.56
I0000297,O000104,P0006,2,85.66,8.41
I0000298,O000105,P0011,5,527.00,8.56
I0000299,O000105,P0020,2,96.16,29.91
I0000300,O000105,P0014,2,285.82,1.86
I0000301,O000106,P0381,3,82.12,16.25
I0000302,O000106,P0382,4,264.82,16.92
I0000303,O000107,P0321,3,123.15,13.20
I0000304,O000107,P0322,3,313.01,2.97
I0000305,O000107,P0310,4,217.66,12.31
I0000306,O000108,P0010,2,302.23,22.53
I0000307,O000108,P0017,2,59.83,2.50
I0000308,O000109,P0018,4,198.26,9.86
I0000309,O000109,P0009,1,451.31,28.77
I0000310,O000109,P0001,2,354.82,17.94
I0000311,O000110,P0451,1,98.83,4.49
I0000312,O000110,P0462,2,106.14,23.06
I0000313,O000110,P0455,5,61.51,24.00
I0000314,O000111,P0470,4,112.66,13.68
I0000315,O000111,P0470,3,74.42,13.53
I0000316,O000112,P0041,2,142.18,33.70
I0000317,O000112,P0042,3,374.28,18.35
I0000318,O000112,P0007,4,252.95,6.01
I0000319,O000113,P0181,5,163.17,23.27
I0000320,O000113,P0182,4,124.78,20.56
I0000321,O000113,P0160,1,132.59,0.26
I0000322,O000113,P0164,3,195.13,21.17
I0000323,O000114,P0169,2,86.18,1.53
I0000324,O000114,P0154,1,28.77,21.98
I0000325,O000114,P0163,4,74.52,25.28
I0000326,O000115,P0041,4,138.64,0.94
I0000327,O000115,P0042,4,401.91,26.11
I0000328,O000115,P0017,2,56.30,8.77
I0000329,O000116,P0191,3,49.82,0.63
I0000330,O000116,P0192,1,84.58,25.95
I0000331,O000116,P0156,2,147.86,5.37
I0000332,O000117,P0004,4,149.82,20.94
I0000333,O000117,P0013,2,464.52,32.51
I0000334,O000117,P0010,1,236.66,0.56
I0000335,O000118,P0002,2,336.55,11.45
I0000336,O000118,P0014,4,353.37,32.70
I0000337,O000118,P0017,2,61.14,7.48
I0000338,O000119,P0001,1,339.40,26.86
I0000339,O000119,P0002,5,532.88,27.69
I0000340,O000119,P0007,4,192.30,33.57
I0000341,O000120,P0021,2,450.51,15.71
I0000342,O000120,P0022,1,458.35,24.66
I0000343,O000120,P0001,4,391.37,31.39
I0000344,O000120,P0020,3,106.94,21.69
I0000345,O000121,P0011,4,434.83,26.62
I0000346,O000121,P0005,3,210.76,10.10
I0000347,O000121,P0009,2,306.14,7.20
I0000348,O000121,P0011,4,478.47,24.37
I0000349,O000122,P0041,2,145.35,20.74
I0000350,O000122,P0042,3,357.48,2.74
I0000351,O000122,P0005,5,146.10,6.91
I0000352,O000123,P0501,2,45.60,17.69
I0000353,O000123,P0502,4,100.56,27.77
I0000354,O000123,P0456,3,80.42,2.91
I0000355,O000123,P0466,3,73.60,5.35
I0000356,O000124,P0041,4,134.12,17.52
I0000357,O000124,P0042,3,409.08,14.55
I0000358,O000124,P0001,1,332.54,10.77
I0000359,O000125,P0462,1,137.84,25.75
I0000360,O000125,P0452,1,98.99,12.65
I0000361,O000125,P0463,4,118.93,22.59
I0000362,O000126,P0453,2,149.91,12.05
I0000363,O000126,P0454,2,44.67,13.93
I0000364,O000126,P0469,4,112.02,0.06
I0000365,O000127,P0451,1,90.51,28.50
I0000366,O000127,P0452,4,89.82,28.32
I0000367,O000128,P0181,1,131.41,23.55
I0000368,O000128,P0182,1,79.83,33.43
I0000369,O000129,P0471,3,51.98,23.87
I0000370,O000129,P0472,4,119.63,32.93
I0000371,O000129,P0470,1,115.43,34.14
I0000372,O000129,P0464,2,14.73,30.47
I0000373,O000130,P0041,1,272.70,33.51
I0000374,O000130,P0042,3,479.39,30.57
I0000375,O000130,P0001,5,406.97,8.17
I0000376,O000131,P0001,5,267.67,27.89
I0000377,O000131,P0002,1,622.05,16.34
I0000378,O000132,P0001,3,470.55,11.43
I0000379,O000132,P0006,1,79.78,9.02
I0000380,O000133,P0320,5,410.72,26.00
I0000381,O000133,P0303,3,224.18,15.29
I0000382,O000133,P0311,5,235.28,3.07
I0000383,O000133,P0313,3,247.88,26.06
I0000384,O000134,P0021,4,354.51,21.06
I0000385,O000134,P0022,3,300.22,29.83
I0000386,O000134,P0005,5,236.04,17.49
I0000387,O000135,P0161,1,40.60,32.71
I0000388,O000135,P0155,4,179.23,27.16
I0000389,O000135,P0157,2,46.31,28.53
I0000390,O000136,P0321,5,120.31,4.58
I0000391,O000136,P0322,3,474.67,1.89
I0000392,O000136,P0318,4,96.72,5.73
I0000393,O000137,P0321,3,146.29,5.89
I0000394,O000137,P0322,5,503.31,6.29
I0000395,O000137,P0313,4,209.75,20.77
I0000396,O000137,P0314,3,106.17,4.16
I0000397,O000138,P0041,3,135.57,20.05
I0000398,O000138,P0042,4,497.78,3.31
I0000399,O000139,P0151,4,135.98,18.77
I0000400,O000139,P0152,1,87.49,29.30
I0000401,O000139,P0163,1,77.06,7.26
I0000402,O000140,P0003,5,97.51,1.23
I0000403,O000140,P0018,1,143.24,33.82
I0000404,O000140,P0009,3,283.42,1.62
I0000405,O000141,P0151,2,106.77,6.58
I0000406,O000141,P0152,3,166.21,21.08
I0000407,O000141,P0152,5,106.30,25.52
I0000408,O000142,P0191,4,71.87,28.72
I0000409,O000142,P0192,4,140.59,11.07
I0000410,O000142,P0169,1,50.57,21.13
I0000411,O000143,P0008,4,182.37,13.20
I0000412,O000143,P0009,5,452.74,27.40
I0000413,O000144,P0468,2,77.08,29.74
I0000414,O000144,P0468,2,60.10,24.03
I0000415,O000145,P0061,5,210.12,34.52
I0000416,O000145,P0062,2,237.86,33.34
I0000417,O000146,P0001,5,277.10,2.01
I0000418,O000146,P0002,4,603.34,28.29
I0000419,O000147,P0181,2,153.48,24.59
I0000420,O000147,P0182,5,128.46,23.14
I0000421,O000147,P0151,2,147.70,1.48
I0000422,O000148,P0501,2,36.59,33.94
I0000423,O000148,P0502,3,101.26,29.78
I0000424,O000148,P0463,5,89.81,10.27
I0000425,O000149,P0013,5,256.87,15.08
I0000426,O000149,P0012,4,485.85,5.38
I0000427,O000150,P0004,4,172.98,15.38
I0000428,O000150,P0015,1,208.04,30.93
I0000429,O000151,P0361,4,451.38,25.00
I0000430,O000151,P0362,4,280.22,32.32
I0000431,O000152,P0021,2,346.24,26.63
I0000432,O000152,P0022,1,530.60,6.54
I0000433,O000152,P0010,4,375.88,34.80
I0000434,O000153,P0461,1,101.13,21.58
I0000435,O000153,P0462,2,97.27,18.37
I0000436,O000153,P0455,4,52.50,14.91
I0000437,O000154,P0001,1,288.97,16.52
I0000438,O000154,P0002,3,441.47,8.83
I0000439,O000154,P0002,-3,400.39,3.39
I0000440,O000154,P0011,5,348.46,25.95
I0000441,O000155,P0001,2,480.51,30.94
I0000442,O000155,P0002,5,530.33,32.39
I0000443,O000155,P0019,2,159.73,10.55
I0000444,O000156,P0451,1,92.62,18.33
I0000445,O000156,P0452,3,58.63,9.60
I0000446,O000156,P0464,2,15.40,19.82
I0000447,O000156,P0453,5,146.75,13.91
I0000448,O000157,P0159,2,125.74,9.40
I0000449,O000157,P0160,2,107.29,8.34
I0000450,O000157,P0158,1,193.34,9.72
I0000451,O000158,P0018,3,192.66,14.29
I0000452,O000158,P0009,3,460.80,21.91
I0000453,O000159,P0501,4,59.87,22.20
I0000454,O000159,P0502,4,66.12,9.41
I0000455,O000159,P0459,3,76.36,8.11
I0000456,O000160,P0010,5,228.90,6.22
I0000457,O000160,P0001,4,282.86,5.02
I0000458,O000160,P0010,5,385.30,33.96
I0000459,O000161,P0005,1,143.22,21.96
I0000460,O000161,P0008,3,366.45,3.72
I0000461,O000161,P0003,5,97.58,2.97
I0000462,O000161,P0009,4,438.45,28.54
I0000463,O000162,P0061,4,175.75,7.85
I0000464,O000162,P0062,4,210.58,22.94
I0000465,O000162,P0005,4,215.93,25.02
I0000466,O000163,P0452,4,72.63,11.72
I0000467,O000163,P0470,3,80.90,23.35
I0000468,O000163,P0455,3,58.28,3.64
I0000469,O000163,P0456,1,110.39,28.38
I0000470,O000164,P0061,4,202.85,11.31
I0000471,O000164,P0062,4,250.73,17.30
I0000472,O000164,P0009,2,368.49,22.28
I0000473,O000165,P0181,1,108.74,0.10
I0000474,O000165,P0182,1,86.26,16.59
I0000475,O000165,P0153,2,68.16,12.23
I0000476,O000166,P0314,5,147.44,23.20
I0000477,O000166,P0312,1,412.40,1.06
I0000478,O000166,P0302,4,202.79,0.44
I0000479,O000167,P0151,4,140.38,6.08
I0000480,O000167,P0152,5,155.22,23.80
I0000481,O000168,P0451,4,114.51,16.40
I0000482,O000168,P0452,4,93.95,5.77
I0000483,O000169,P0041,5,217.31,26.48
I0000484,O000169,P0042,1,346.87,32.52
I0000485,O000170,P0381,4,108.59,17.51
I0000486,O000170,P0382,1,301.27,34.08
I0000487,O000171,P0001,1,276.12,23.88
I0000488,O000171,P0002,2,610.88,8.10
I0000489,O000171,P0010,5,355.89,5.64
I0000490,O000172,P0302,2,196.53,21.36
I0000491,O000172,P0313,1,198.70,34.80
I0000492,O000172,P0308,1,237.75,30.47
I0000493,O000173,P0015,4,315.39,12.72
I0000494,O000173,P0005,3,238.68,32.10
I0000495,O000173,P0004,1,157.29,21.86
I0000496,O000173,P0019,1,166.25,17.71
I0000497,O000174,P0061,1,336.82,7.81
I0000498,O000174,P0062,4,250.01,16.40
I0000499,O000175,P0021,2,236.71,5.45
I0000500,O000175,P0022,4,399.72,1.10
I0000501,O000175,P0015,4,220.63,28.30
I0000502,O000176,P0061,1,302.03,9.08
I0000503,O000176,P0062,3,356.83,15.00
I0000504,O000176,P0017,4,63.68,12.22
I0000505,O000176,P0007,4,255.91,27.44
I0000506,O000177,P0361,4,372.96,11.07
I0000507,O000177,P0362,2,233.41,25.28
I0000508,O000177,P0305,1,353.94,22.36
I0000509,O000178,P0169,1,50.05,31.38
I0000510,O000178,P0151,4,149.09,22.71
I0000511,O000178,P0162,3,53.71,28.99
I0000512,O000178,P0162,2,43.72,6.15
I0000513,O000179,P0004,5,189.31,3.63
I0000514,O000179,P0003,5,101.95,3.63
I0000515,O000180,P0013,3,393.44,9.37
I0000516,O000180,P0001,2,447.63,27.83
I0000517,O000180,P0012,-2,314.13,31.82
I0000518,O000180,P0008,5,210.25,13.10
I0000519,O000181,P0019,5,196.70,6.08
I0000520,O000181,P0014,2,247.34,8.08
I0000521,O000181,P0005,3,191.54,22.10
I0000522,O000181,P0013,1,483.75,5.57
I0000523,O000182,P0301,2,197.78,27.22
I0000524,O000182,P0302,4,211.75,18.74
I0000525,O000182,P0305,2,384.76,23.07
I0000526,O000182,P0315,1,194.88,22.34
I0000527,O000183,P0041,4,146.62,27.84
I0000528,O000183,P0042,4,579.21,2.67
I0000529,O000183,P0013,2,498.09,22.17
I0000530,O000184,P0170,1,64.61,18.26
I0000531,O000184,P0168,5,22.49,1.03
I0000532,O000185,P0471,3,46.34,3.22
I0000533,O000185,P0472,4,95.66,28.32
I0000534,O000185,P0466,3,89.40,8.75
I0000535,O000186,P0191,5,70.31,21.26
I0000536,O000186,P0192,4,102.95,31.43
I0000537,O000186,P0161,5,25.05,1.18
I0000538,O000187,P0001,1,401.66,13.02
I0000539,O000187,P0002,2,304.72,24.09
I0000540,O000187,P0007,5,243.66,27.83
I0000541,O000188,P0464,1,17.81,1.74
I0000542,O000188,P0461,2,143.21,14.74
I0000543,O000188,P0461,1,114.20,20.69
I0000544,O000189,P0151,3,91.43,3.33
I0000545,O000189,P0152,5,106.06,26.38
I0000546,O000189,P0161,3,38.93,17.28
I0000547,O000189,P0151,1,148.83,15.91
I0000548,O000190,P0001,3,458.98,1.51
I0000549,O000190,P0002,4,325.95,11.53
I0000550,O000190,P0002,4,389.21,5.96
I0000551,O000190,P0009,5,252.51,11.18
I0000552,O000191,P0166,3,65.40,26.82
I0000553,O000191,P0158,2,153.71,30.55
I0000554,O000192,P0021,1,400.70,22.94
I0000555,O000192,P0022,4,589.75,7.66
I0000556,O000192,P0010,2,376.65,17.97
I0000557,O000193,P0008,3,232.27,16.67
I0000558,O000193,P0001,4,302.55,32.44
I0000559,O000193,P0015,3,253.94,13.89
I0000560,O000193,P0006,4,68.18,9.54
I0000561,O000194,P0001,1,478.14,7.69
I0000562,O000194,P0002,3,488.32,8.36
I0000563,O000194,P0008,4,224.44,21.71
I0000564,O000195,P0471,5,68.30,3.30
I0000565,O000195,P0472,2,96.33,10.69
I0000566,O000196,P0470,1,113.35,17.09
I0000567,O000196,P0462,3,72.37,0.61
I0000568,O000196,P0466,2,85.20,18.38
I0000569,O000197,P0361,5,458.68,10.54
I0000570,O000197,P0362,5,333.61,29.99
I0000571,O000197,P0301,1,178.80,9.45
I0000572,O000198,P0181,3,104.88,33.42
I0000573,O000198,P0182,4,120.64,23.76
I0000574,O000198,P0153,3,132.11,30.66
I0000575,O000199,P0166,5,89.39,5.26
I0000576,O000199,P0155,1,143.91,5.69
I0000577,O000200,P0001,5,270.17,30.76
I0000578,O000200,P0002,1,517.56,26.91
I0000579,O000200,P0009,4,395.31,4.99
I0000580,O000201,P0001,4,468.32,20.90
I0000581,O000201,P0002,2,521.97,11.29
I0000582,O000201,P0009,3,283.83,14.57
I0000583,O000202,P0191,3,64.91,23.98
I0000584,O000202,P0192,1,108.95,14.72
I0000585,O000203,P0381,1,96.89,13.74
I0000586,O000203,P0382,1,253.41,26.70
I0000587,O000203,P0302,1,175.09,9.46
I0000588,O000204,P0041,5,234.68,32.78
I0000589,O000204,P0042,-2,495.96,4.01
I0000590,O000204,P0010,1,303.70,8.65
I0000591,O000204,P0010,1,369.29,15.53
I0000592,O000205,P0301,5,135.45,26.06
I0000593,O000205,P0302,3,288.56,19.13
I0000594,O000205,P0306,3,184.72,3.50
I0000595,O000206,P0151,2,127.91,25.31
I0000596,O000206,P0152,3,113.37,29.95
I0000597,O000206,P0162,2,76.81,18.38
I0000598,O000206,P0155,3,153.37,12.32
I0000599,O000207,P0013,5,412.19,32.46
I0000600,O000207,P0016,5,78.57,24.42
I0000601,O000207,P0020,1,80.99,21.61
I0000602,O000207,P0006,1,66.54,25.65
I0000603,O000208,P0306,5,255.42,14.70
I0000604,O000208,P0313,4,156.67,1.31
I0000605,O000209,P0021,2,334.39,10.01
I0000606,O000209,P0022,1,436.16,18.50
